text_features,speeding,signal_violation,careless_driving,distracted,wrong_lane,drink_drive,LATITUDE,LONGITUDE
unspecified unspecified unspecified,0,0,0,0,0,0,40.62179,-73.970024
unspecified,0,0,0,0,0,0,40.667202,-73.8665
passing too closely unspecified,0,0,1,0,0,0,40.709183,-73.956825
unspecified unspecified,0,0,0,0,0,0,40.86816,-73.83148
driver inexperience unspecified,0,0,0,0,0,0,40.67172,-73.8971
passing too closely unspecified,0,0,1,0,0,0,40.75144,-73.97397
passing or lane usage improper unspecified,0,0,0,0,0,0,40.701275,-73.88887
turning improperly unspecified,0,0,0,0,0,0,40.675884,-73.75577
unsafe speed,0,0,0,0,0,0,40.59662,-74.00231
reaction to uninvolved vehicle unspecified,0,0,0,0,0,0,40.66684,-73.78941
passing too closely unspecified,0,0,1,0,0,0,40.68158,-73.97463
steering failure,0,0,0,0,0,0,40.65068,-73.95881
unspecified unspecified,0,0,0,0,0,0,40.87262,-73.904686
following too closely unspecified unspecified,0,0,1,0,0,0,40.783268,-73.82485
following too closely unspecified,0,0,1,0,0,0,40.748917,-73.993546
other vehicular other vehicular,0,0,0,0,0,0,40.744644,-73.77041
unspecified,0,0,0,0,0,0,40.75373,-73.88505
unspecified,0,0,0,0,0,0,40.804375,-73.93742
unspecified unspecified,0,0,0,0,0,0,40.63165,-74.08762
unspecified,0,0,0,0,0,0,40.623104,-73.95809
passing too closely unspecified,0,0,1,0,0,0,40.66576,-73.9845
unspecified unspecified,0,0,0,0,0,0,40.687534,-73.9775
passing or lane usage improper unspecified,0,0,0,0,0,0,40.710957,-73.951126
driver inattention/distraction unspecified,0,0,0,1,0,0,40.81813,-73.910126
passing too closely unspecified,0,0,1,0,0,0,40.70447,-73.90148
driver inattention/distraction driver inattention/distraction,0,0,0,1,0,0,40.784615,-73.953964
passing or lane usage improper unspecified,0,0,0,0,0,0,40.698257,-73.82632
oversized vehicle unspecified,0,0,0,0,0,0,40.663303,-73.96049
unspecified,0,0,0,0,0,0,40.720535,-73.88885
driver inattention/distraction unspecified,0,0,0,1,0,0,40.607685,-74.13892
unspecified unspecified,0,0,0,0,0,0,40.855972,-73.869896
traffic control disregarded,0,1,0,0,0,0,40.790276,-73.9396
